
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.06      0.00      0.69      5.75      0.00     93.51
                all      0.07      0.00      0.64      4.36      0.00     94.93
                all      0.05      0.00      0.55      3.29      0.00     96.11
                all      0.03      0.00      0.30      0.35      0.00     99.32
                all      0.03      0.00      0.36      0.04      0.00     99.57
end------
                all      0.13      0.00      0.78      0.00      0.00     99.09
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.13      0.00      0.83      0.00      0.00     99.03
                all      0.16      0.00      0.82      0.01      0.00     99.00
                all      0.14      0.00      0.65      0.01      0.00     99.20
                all      0.12      0.00      0.45      0.00      0.00     99.42
                all      0.15      0.00      0.52      0.00      0.00     99.32
                all      0.10      0.00      0.37      0.00      0.00     99.53
start----
                all     44.17      0.00      0.60      0.00      0.00     55.23
                all     99.50      0.00      0.50      0.00      0.00      0.00
                all     99.37      0.00      0.63      0.00      0.00      0.00
                all     99.45      0.00      0.55      0.00      0.00      0.00
                all     99.69      0.00      0.31      0.00      0.00      0.00
                all     99.35      0.00      0.57      0.00      0.00      0.08
                all     97.26      0.00      0.61      0.00      0.00      2.13
                all     83.27      0.00      0.25      0.00      0.00     16.48
                all     24.47      0.00      0.15      0.00      0.00     75.38
                all      0.40      0.00      0.08      0.08      0.00     99.44
                all      0.26      0.00      0.28      0.00      0.00     99.46
                all      0.09      0.00      0.36      0.00      0.00     99.55
                all      0.09      0.00      0.36      0.00      0.00     99.55
                all      0.12      0.00      0.51      0.01      0.00     99.36
                all      0.07      0.00      0.54      0.00      0.00     99.39
                all      0.08      0.00      0.36      0.01      0.00     99.54
                all      0.11      0.00      0.46      0.00      0.00     99.43
                all      0.16      0.00      1.76      7.71      0.00     90.37
end------
                all      0.01      0.00      0.40      0.00      0.00     99.58
                all      0.14      0.00      0.77      0.01      0.00     99.09
                all      0.14      0.00      0.50      0.00      0.00     99.36
                all      0.13      0.00      0.45      0.00      0.00     99.43
                all      0.14      0.00      0.43      0.00      0.00     99.43
start----
                all      0.14      0.00      0.46      0.01      0.00     99.38
                all     60.04      0.00      0.60      0.00      0.00     39.35
                all     99.59      0.00      0.41      0.00      0.00      0.00
                all     99.34      0.00      0.66      0.00      0.00      0.00
                all     99.39      0.00      0.61      0.00      0.00      0.00
