
Linux 5.2.8200225+ (knl03.kisti.re.kr) 	2020년 03월 24일 	_x86_64_	(68 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.31      0.00      0.24      0.00      0.00     86.46
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.27      0.00      0.40      0.44      0.00     85.89
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     12.72      0.00      0.81      0.00      0.00     86.47
                all     13.33      0.00      0.34      0.00      0.00     86.33
                all     13.30      0.00      0.25      0.00      0.00     86.45
                all     13.31      0.00      0.24      0.00      0.00     86.46
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.21      0.00      0.00     86.51
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.27      0.00      0.37      0.63      0.00     85.73
                all     13.30      0.00      0.24      0.00      0.00     86.47
                all     12.66      0.00      0.87      0.00      0.00     86.47
                all     13.28      0.00      0.28      0.00      0.00     86.44
                all     13.26      0.00      0.26      0.00      0.00     86.47
                all     13.28      0.00      0.21      0.00      0.00     86.51
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.25      0.00      0.27      0.00      0.00     86.48
                all     13.28      0.00      0.31      0.15      0.00     86.27
                all     13.26      0.00      0.29      0.00      0.00     86.44
                all     13.28      0.00      0.22      0.00      0.00     86.50
                all     12.57      0.00      0.97      0.00      0.00     86.45
                all     13.30      0.00      0.24      0.00      0.00     86.47
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.25      0.00      0.25      0.00      0.00     86.50
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.31      0.57      0.00     85.83
                all     13.27      0.00      0.35      0.24      0.00     86.15
                all     13.28      0.00      0.27      0.00      0.00     86.45
                all     12.59      0.00      0.94      0.00      0.00     86.47
                all     13.31      0.00      0.24      0.00      0.00     86.46
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.31      0.00      0.29      0.00      0.00     86.40
                all     13.25      0.00      0.27      0.00      0.00     86.48
                all     13.31      0.57      0.60      0.01      0.00     85.50
                all     13.28      0.53      0.96      0.00      0.00     85.23
                all     13.29      0.47      0.90      0.21      0.00     85.13
                all     13.28      0.53      0.60      0.19      0.00     85.40
                all     13.31      0.25      0.46      0.15      0.00     85.84
                all     12.82      0.25      1.37      0.03      0.00     85.52
                all     13.21      0.19      1.05      0.00      0.00     85.55
                all     13.30      0.19      0.93      0.00      0.00     85.58
                all     13.32      0.15      0.87      0.00      0.00     85.67
                all     13.31      0.18      0.97      0.00      0.00     85.54
                all     13.31      0.21      0.94      0.00      0.00     85.54
                all     13.31      0.19      0.87      0.00      0.00     85.62
                all     13.34      0.21      0.90      0.00      0.00     85.55
                all     13.31      0.09      0.74      0.18      0.00     85.69
                all     13.35      0.16      0.89      0.00      0.00     85.60
                all     13.31      0.18      0.90      0.00      0.00     85.61
                all     12.98      0.18      1.25      0.00      0.00     85.59
                all     12.71      0.19      1.56      0.00      0.00     85.54
                all     12.92      0.18      1.30      0.00      0.00     85.60
                all     12.89      0.18      1.37      0.00      0.00     85.56
                all     12.93      0.18      1.31      0.00      0.00     85.58
                all     12.93      0.15      1.37      0.00      0.00     85.55
                all     12.92      0.13      1.48      0.00      0.00     85.47
                all     12.96      0.25      1.45      0.00      0.00     85.35
                all     12.91      0.21      1.55      0.00      0.00     85.33
                all     12.91      0.18      1.64      0.00      0.00     85.28
                all     12.89      0.86      1.12      0.07      0.00     85.06
                all     13.01      0.50      0.96      0.07      0.00     85.46
                all     12.91      0.00      0.63      0.00      0.00     86.46
                all     12.84      0.00      0.82      0.53      0.00     85.80
end------
                all      5.12      0.00      0.73      0.06      0.00     94.10
                all      0.42      0.00      2.94      0.01      0.00     96.62
                all      0.45      0.00      2.44      0.00      0.00     97.12
                all      0.48      0.00      1.70      0.00      0.00     97.83
                all      0.50      0.00      1.70      0.00      0.00     97.79
                all      0.49      0.00      1.73      0.00      0.00     97.78
start----
                all      0.33      0.00      1.51      0.12      0.00     98.05
                all     12.21      0.00      1.19      0.00      0.00     86.60
                all     13.29      0.00      0.34      0.16      0.00     86.21
                all     13.26      0.00      0.24      0.00      0.00     86.50
                all     13.28      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.24      0.00      0.00     86.48
                all     13.27      0.00      0.28      0.00      0.00     86.45
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.26      0.00      0.25      0.00      0.00     86.49
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.31      0.00      0.25      0.00      0.00     86.44
                all     12.98      0.00      0.34      0.16      0.00     86.52
                all      9.38      0.00      2.13      1.59      0.00     86.89
                all     13.28      0.00      0.24      0.00      0.00     86.49
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.30      0.00      0.27      0.31      0.00     86.12
                all     13.29      0.00      0.24      0.00      0.00     86.47
                all     13.30      0.00      0.22      0.00      0.00     86.48
                all     13.27      0.00      0.26      0.00      0.00     86.46
                all     13.28      0.00      0.25      0.00      0.00     86.47
                all     13.31      0.00      0.24      0.00      0.00     86.45
                all     12.73      0.00      0.81      0.00      0.00     86.46
                all     13.30      0.00      0.24      0.00      0.00     86.47
                all     13.25      0.00      0.29      0.00      0.00     86.46
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.27      0.00      0.25      0.00      0.00     86.48
                all     13.29      0.00      0.25      0.00      0.00     86.46
                all     13.31      0.00      0.24      0.00      0.00     86.46
                all     13.25      0.00      0.28      0.00      0.00     86.47
                all     13.27      0.00      0.35      0.15      0.00     86.23
