
Linux 5.2.8org200301+ (knl03.kisti.re.kr) 	2020년 05월 29일 	_x86_64_	(272 CPU)

                CPU     %user     %nice   %system   %iowait    %steal     %idle
                all      0.06      0.00      1.14      4.36      0.00     94.44
                all      0.08      0.00      1.17      4.33      0.00     94.41
                all      0.07      0.00      1.04      5.42      0.00     93.46
                all      0.04      0.00      0.75      6.34      0.00     92.88
                all      0.06      0.00      1.15      5.63      0.00     93.16
                all      0.08      0.00      0.79      1.81      0.00     97.32
end------
                all      0.05      0.00      0.56      0.00      0.00     99.39
                all      0.12      0.00      0.83      0.00      0.00     99.05
                all      0.14      0.00      0.93      0.00      0.00     98.92
                all      0.11      0.00      0.72      0.00      0.00     99.17
                all      0.12      0.00      0.46      0.00      0.00     99.42
                all      0.14      0.00      0.54      0.00      0.00     99.32
                all      0.15      0.00      0.54      0.00      0.00     99.31
start----
                all      0.11      0.00      0.42      0.00      0.00     99.47
                all     56.51      0.00      0.60      0.00      0.00     42.89
                all     99.35      0.00      0.65      0.00      0.00      0.00
                all     99.38      0.00      0.62      0.00      0.00      0.00
                all     99.59      0.00      0.41      0.00      0.00      0.00
                all     99.62      0.00      0.38      0.00      0.00      0.00
                all     96.95      0.00      0.67      0.00      0.00      2.38
                all     79.31      0.00      0.39      0.00      0.00     20.30
                all     13.55      0.00      0.10      0.00      0.00     86.35
                all      0.39      0.00      0.07      0.00      0.00     99.54
                all      0.18      0.00      1.07      2.44      0.00     96.30
                all      0.05      0.00      1.20      4.38      0.00     94.36
                all      0.05      0.00      1.12      4.85      0.00     93.98
                all      0.06      0.00      1.13      5.52      0.00     93.28
                all      0.10      0.00      1.25      5.83      0.00     92.83
                all      0.06      0.00      1.16      6.37      0.00     92.42
                all      0.04      0.00      0.74      2.47      0.00     96.75
end------
                all      0.06      0.00      0.63      0.00      0.00     99.31
                all      0.12      0.00      0.85      0.00      0.00     99.04
                all      0.13      0.00      0.84      0.00      0.00     99.03
                all      0.18      0.00      0.96      0.01      0.00     98.85
                all      0.17      0.00      0.57      0.00      0.00     99.26
                all      0.11      0.00      0.46      0.00      0.00     99.43
                all      0.14      0.00      0.47      0.00      0.00     99.39
                all      0.13      0.00      0.51      0.00      0.00     99.37
start----
                all     19.24      0.00      0.64      0.01      0.00     80.11
                all     99.57      0.00      0.43      0.00      0.00      0.00
                all     99.35      0.00      0.65      0.00      0.00      0.00
                all     99.44      0.00      0.56      0.00      0.00      0.00
                all     99.69      0.00      0.31      0.00      0.00      0.00
                all     98.53      0.00      0.57      0.00      0.00      0.91
                all     85.10      0.00      0.32      0.00      0.00     14.58
                all     29.17      0.00      0.10      0.00      0.00     70.73
                all      0.39      0.00      0.08      0.00      0.00     99.53
                all      0.33      0.00      0.22      0.00      0.00     99.45
                all      0.14      0.00      0.32      0.00      0.00     99.54
                all      0.06      0.00      0.35      0.03      0.00     99.56
                all      0.13      0.00      0.45      0.00      0.00     99.42
                all      0.15      0.00      0.33      0.00      0.00     99.52
                all      0.03      0.00      0.38      0.00      0.00     99.59
                all      0.18      0.00      0.38      0.00      0.00     99.44
                all      0.11      0.00      0.33      0.00      0.00     99.55
                all      0.03      0.00      0.43      0.04      0.00     99.50
                all      0.15      0.00      0.32      0.00      0.00     99.52
                all      0.13      0.00      0.38      0.01      0.00     99.48
                all      0.08      0.00      0.37      0.03      0.00     99.52
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.08      0.00      0.42      0.05      0.00     99.45
                all      0.12      0.00      0.33      0.00      0.00     99.54
                all      0.14      0.00      0.40      0.00      0.00     99.46
                all      0.08      0.00      0.44      0.04      0.00     99.43
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.08      0.00      0.32      0.04      0.00     99.57
                all      0.12      0.00      0.45      0.01      0.00     99.42
                all      0.15      0.00      0.32      0.00      0.00     99.53
                all      0.03      0.00      0.39      0.05      0.00     99.53
                all      0.14      0.00      0.32      0.00      0.00     99.54
                all      0.14      0.00      0.39      0.01      0.00     99.46
                all      0.06      0.00      0.37      0.04      0.00     99.52
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.10      0.00      0.40      0.06      0.00     99.44
                all      0.10      0.00      0.38      0.00      0.00     99.52
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.07      0.00      0.50      0.05      0.00     99.39
                all      0.13      0.00      0.32      0.00      0.00     99.55
                all      0.13      0.00      0.32      0.01      0.00     99.54
                all      0.05      0.00      0.38      0.04      0.00     99.53
                all      0.18      0.00      0.37      0.00      0.00     99.45
                all      0.08      0.00      0.32      0.04      0.00     99.56
                all      0.10      0.00      0.37      0.01      0.00     99.52
                all      0.18      0.00      0.37      0.00      0.00     99.45
                all      0.03      0.00      0.39      0.05      0.00     99.52
                all      0.11      0.00      0.35      0.00      0.00     99.54
                all      0.17      0.00      0.40      0.00      0.00     99.43
                all      0.04      0.00      0.37      0.14      0.00     99.45
                all      0.15      0.00      0.31      0.00      0.00     99.54
                all      0.10      0.00      0.37      0.03      0.00     99.50
                all      0.10      0.00      0.38      0.03      0.00     99.50
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.04      0.00      0.36      0.06      0.00     99.54
                all      0.15      0.00      0.40      0.00      0.00     99.45
                all      0.13      0.00      0.32      0.00      0.00     99.54
                all      0.03      0.00      0.38      0.05      0.00     99.54
                all      0.18      0.00      0.39      0.00      0.00     99.43
                all      0.08      0.00      0.33      0.03      0.00     99.56
                all      0.13      0.00      0.39      0.03      0.00     99.45
                all      0.18      0.00      0.37      0.00      0.00     99.45
                all      0.04      0.00      0.38      0.05      0.00     99.53
                all      0.12      0.00      0.35      0.00      0.00     99.53
                all      0.14      0.00      0.35      0.00      0.00     99.51
                all      0.06      0.00      0.41      0.05      0.00     99.48
                all      0.21      0.00      0.33      0.08      0.00     99.38
                all      0.09      0.00      0.30      0.00      0.00     99.61
                all      0.09      0.00      0.49      0.00      0.00     99.41
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.07      0.00      0.32      0.04      0.00     99.57
                all      0.14      0.00      0.45      0.00      0.00     99.42
                all      0.14      0.00      0.31      0.00      0.00     99.54
                all      0.02      0.00      0.40      0.05      0.00     99.53
                all      0.18      0.00      0.37      0.00      0.00     99.45
                all      0.10      0.00      0.32      0.00      0.00     99.57
                all      0.05      0.00      0.40      0.00      0.00     99.55
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.11      0.00      0.37      0.01      0.00     99.50
                all      0.09      0.00      0.39      0.01      0.00     99.51
                all      0.15      0.00      0.31      0.00      0.00     99.54
                all      0.07      0.00      0.42      0.00      0.00     99.51
                all      0.14      0.00      0.32      0.00      0.00     99.54
                all      0.11      0.00      0.32      0.00      0.00     99.57
                all      0.10      0.00      0.52      0.00      0.00     99.38
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.08      0.00      0.33      0.00      0.00     99.58
                all      0.06      0.00      0.46      0.00      0.00     99.48
                all      0.17      0.00      0.36      0.00      0.00     99.47
                all      0.07      0.00      0.31      0.00      0.00     99.61
                all      0.09      0.00      0.37      0.03      0.00     99.51
                all      0.18      0.00      0.38      0.00      0.00     99.45
                all      0.04      0.00      0.36      0.01      0.00     99.60
                all      0.14      0.00      0.31      0.00      0.00     99.55
                all      0.15      0.00      0.39      0.00      0.00     99.46
                all      0.01      0.00      0.42      0.00      0.00     99.56
                all      0.03      0.00     10.43      0.00      0.00     89.54
                all      0.07      0.00      7.18      2.83      0.00     89.92
                all      0.07      0.00      1.19      6.48      0.00     92.26
                all      0.05      0.00      1.10      7.09      0.00     91.76
                all      0.06      0.00      1.12      6.92      0.00     91.90
                all      0.10      0.00      1.23      6.49      0.00     92.17
                all      0.06      0.00      1.12      6.76      0.00     92.07
                all      0.06      0.00      1.16      7.05      0.00     91.73
                all      0.11      0.00      1.18      7.11      0.00     91.60
                all      0.06      0.00      1.11      7.10      0.00     91.73
                all      0.06      0.00      1.11      7.09      0.00     91.74
                all      0.09      0.00      1.20      7.08      0.00     91.63
                all      0.06      0.00      1.11      7.38      0.00     91.45
                all      0.05      0.00      0.46      1.30      0.00     98.19
end------
                all      0.05      0.00      0.56      0.00      0.00     99.39
                all      0.14      0.00      0.90      0.00      0.00     98.96
                all      0.13      0.00      0.82      0.00      0.00     99.04
                all      0.12      0.00      0.83      0.00      0.00     99.04
                all      0.16      0.00      0.90      0.00      0.00     98.94
                all      0.13      0.00      0.82      0.00      0.00     99.05
                all      0.13      0.00      0.81      0.00      0.00     99.05
                all      0.14      0.00      0.74      0.02      0.00     99.09
                all      0.13      0.00      0.46      0.00      0.00     99.41
                all      0.12      0.00      0.44      0.00      0.00     99.44
                all      0.14      0.00      0.52      0.00      0.00     99.34
                all      0.13      0.00      0.51      0.00      0.00     99.36
start----
                all     41.26      0.00      0.70      0.01      0.00     58.04
                all     99.57      0.00      0.43      0.00      0.00      0.00
                all     99.32      0.00      0.68      0.00      0.00      0.00
                all     99.00      0.00      1.00      0.00      0.00      0.00
                all     99.00      0.00      0.66      0.00      0.00      0.34
                all     97.45      0.00      0.90      0.00      0.00      1.65
                all     90.28      0.00      0.55      0.00      0.00      9.17
                all     67.49      0.00      0.18      0.00      0.00     32.33
                all      2.72      0.00      0.07      0.00      0.00     97.21
                all      0.42      0.00      0.14      0.00      0.00     99.45
                all      0.08      0.00      3.34      1.12      0.00     95.46
                all      0.06      0.00      1.18      4.90      0.00     93.86
                all      0.10      0.00      1.23      5.49      0.00     93.18
                all      0.06      0.00      1.17      5.57      0.00     93.20
                all      0.06      0.00      1.18      5.88      0.00     92.88
                all      0.07      0.00      1.16      6.14      0.00     92.63
